Category: All categories

Month,black lives matter: (United States),blm: (United States)
2013-01,0,1
2013-02,<1,1
2013-03,<1,1
2013-04,<1,1
2013-05,0,1
2013-06,0,1
2013-07,<1,1
2013-08,<1,1
2013-09,0,1
2013-10,<1,1
2013-11,<1,1
2013-12,<1,1
2014-01,<1,1
2014-02,<1,1
2014-03,0,1
2014-04,0,5
2014-05,0,2
2014-06,<1,2
2014-07,0,2
2014-08,<1,2
2014-09,<1,1
2014-10,<1,1
2014-11,<1,1
2014-12,1,1
2015-01,1,1
2015-02,<1,1
2015-03,<1,2
2015-04,1,2
2015-05,1,2
2015-06,1,2
2015-07,1,2
2015-08,6,2
2015-09,4,2
2015-10,2,2
2015-11,4,2
2015-12,3,2
2016-01,2,2
2016-02,4,2
2016-03,3,2
2016-04,3,2
2016-05,2,2
2016-06,2,2
2016-07,30,10
2016-08,6,3
2016-09,8,4
2016-10,5,3
2016-11,6,3
2016-12,3,2
2017-01,3,3
2017-02,2,2
2017-03,2,2
2017-04,2,2
2017-05,2,2
2017-06,2,2
2017-07,1,2
2017-08,4,5
2017-09,3,2
2017-10,2,2
2017-11,2,2
2017-12,1,1
2018-01,1,2
2018-02,2,2
2018-03,2,2
2018-04,2,2
2018-05,1,2
2018-06,1,2
2018-07,1,2
2018-08,1,2
2018-09,1,2
2018-10,1,2
2018-11,1,1
2018-12,1,1
2019-01,1,1
2019-02,1,1
2019-03,1,2
2019-04,1,2
2019-05,1,2
2019-06,1,2
2019-07,1,2
2019-08,<1,2
2019-09,1,1
2019-10,1,1
2019-11,1,1
2019-12,1,1
2020-01,1,1
2020-02,1,1
2020-03,<1,2
2020-04,1,2
2020-05,12,5
2020-06,100,58
2020-07,33,37
2020-08,19,27
2020-09,16,26
2020-10,8,11
2020-11,5,8
2020-12,3,6
2021-01,5,20
2021-02,3,9
2021-03,2,6
2021-04,4,10
2021-05,2,7
2021-06,2,5
2021-07,2,5
2021-08,1,4
2021-09,1,3
2021-10,1,3
2021-11,2,4
2021-12,1,3
2022-01,1,3
2022-02,2,5
2022-03,0,0
